DIGITAL ROOT CONJECTURE TEST
==============================================================================

Conjecture:
  For every n > 2, the digital root of the maximum value in the Collatz orbit of n is always 7 or a multiple of 4, i.e. in {4, 7, 8} (OEIS A025586 comments, Guy Chouraqui, 2023).

BASE RUN: n = 3..200000
------------------------------------------------------------------------------
Analysis time: 0.08s
Counterexamples found: 33115 / 199998
Full counterexample list (33115 entries):
  n=20 max_value=20 digital_root=2
  n=21 max_value=64 digital_root=1
  n=24 max_value=24 digital_root=6
  n=32 max_value=32 digital_root=5
  n=33 max_value=100 digital_root=1
  n=42 max_value=64 digital_root=1
  n=45 max_value=136 digital_root=1
  n=48 max_value=48 digital_root=3
  n=56 max_value=56 digital_root=2
  n=64 max_value=64 digital_root=1
  n=66 max_value=100 digital_root=1
  n=68 max_value=68 digital_root=5
  n=69 max_value=208 digital_root=1
  n=72 max_value=72 digital_root=9
  n=81 max_value=244 digital_root=1
  n=84 max_value=84 digital_root=3
  n=90 max_value=136 digital_root=1
  n=93 max_value=280 digital_root=1
  n=96 max_value=96 digital_root=6
  n=100 max_value=100 digital_root=1
  n=104 max_value=104 digital_root=5
  n=117 max_value=352 digital_root=1
  n=128 max_value=128 digital_root=2
  n=132 max_value=132 digital_root=6
  n=136 max_value=136 digital_root=1
  n=138 max_value=208 digital_root=1
  n=141 max_value=424 digital_root=1
  n=144 max_value=144 digital_root=9
  n=162 max_value=244 digital_root=1
  n=168 max_value=168 digital_root=6
  n=176 max_value=176 digital_root=5
  n=177 max_value=532 digital_root=1
  n=180 max_value=180 digital_root=9
  n=186 max_value=280 digital_root=1
  n=192 max_value=192 digital_root=3
  n=200 max_value=200 digital_root=2
  n=208 max_value=208 digital_root=1
  n=212 max_value=212 digital_root=5
  n=213 max_value=640 digital_root=1
  n=228 max_value=228 digital_root=3
  n=234 max_value=352 digital_root=1
  n=237 max_value=712 digital_root=1
  n=240 max_value=240 digital_root=6
  n=244 max_value=244 digital_root=1
  n=261 max_value=784 digital_root=1
  n=264 max_value=264 digital_root=3
  n=272 max_value=272 digital_root=2
  n=273 max_value=820 digital_root=1
  n=276 max_value=276 digital_root=6
  n=280 max_value=280 digital_root=1
